question_id,role_tag,difficulty_level,subtopic,question_text,ideal_answer,source_ref
AI_0009,AI ML Engineer,Medium,Model Evaluation,Explain the ROC curve ?,"A graph showing the performance of a classification model at all classification thresholds. It plots True Positive Rate (Sensitivity) against False Positive Rate (1 - Specificity). Keywords: Threshold, AUC (Area Under Curve), Sensitivity, False Positive Rate, Trade-off",
DS_0005,Data Scientist,Easy,Data Cleaning,How do you handle missing data in a dataset?,"Handling missing data requires selecting a strategy based on the nature of the data. 1. Deletion: Removing rows or columns (Listwise or Pairwise) if the missingness is minimal. 2. Imputation: Filling gaps using statistical measures (Mean, Median, Mode) or predictive models (KNN Imputation, MICE). 3. Algorithm Support: Using models like XGBoost or LightGBM that handle missing values natively. 4. Category Coding: Treating 'Missing' as a separate feature level. Keywords: Listwise Deletion, Mean/Median Imputation, KNN Imputer, MICE, MCAR/MAR/MNAR, Data Imbalance.",
AI_0010,AI ML Engineer,Medium,Data Preprocessing,What is data augmentation? Give examples,"A technique to artificially increase the size and diversity of a training dataset by creating modified versions of existing data (e.g., flipping, rotating, adding noise) without changing the label. Keywords: Synthetic Data, Overfitting, Generalization, Invariance, Transformation",
DS_0006,Data Scientist,Medium,Machine Learning,Explain the bias-variance tradeoff.,"The Bias-Variance Tradeoff is the challenge of minimizing two sources of error that prevent supervised algorithms from generalizing: 1. Bias: Error from overly simplistic assumptions (Underfitting), where the model misses relevant relations. 2. Variance: Error from high sensitivity to small fluctuations in the training set (Overfitting), where the model models noise. 3. The Goal: To find the optimal model complexity where the Total Error (calculated as $Bias^2 + Variance + Irreducible Error$) is minimized. Keywords: Underfitting, Overfitting, Model Complexity, Generalization, Total Error, Sweet Spot.",
AI_0011,AI ML Engineer,Hard,Deep Learning,What is vanishing gradient problem? How to solve it?,"n deep networks, gradients calculated during backpropagation become increasingly small as they pass back to lower layers, causing early layers to stop learning. Keywords: Backpropagation, Chain Rule, Weight Update, Deep Networks, Activation Function.",
DS_0007,Data Scientist,Medium,Machine Learning,What is the difference between L1 (Lasso) and L2 (Ridge) Regularization?,"L1 Regularization (Lasso) adds a penalty equal to the absolute value of the magnitude of coefficients; it can shrink coefficients to zero, performing Feature Selection. L2 Regularization (Ridge) adds a penalty equal to the square of the magnitude of coefficients; it shrinks coefficients evenly but never to zero, handling Multicollinearity well. Keywords: Penalty Term, Feature Selection, Sparsity, Shrinkage, Overfitting, Lambda.",
AI_0012,AI ML Engineer,Hard,Dimensionality Reduction,What is the difference between LDA and PCA?,"PCA is an unsupervised linear transformation that maximizes variance (ignores labels). LDA is a supervised linear transformation that maximizes class separability. Keywords: Supervised vs Unsupervised, Variance, Class Separability, Linear Transformation, Dimensionality.",
DS_0008,Data Scientist,Medium,Evaluation Metrics,When would you use Precision-Recall curve instead of ROC-AUC?,"ROC-AUC is preferred when the classes are balanced and we care about the model's performance on both classes. Precision-Recall (PR) curves are preferred for Imbalanced Datasets (e.g., fraud detection), where the Positive class is rare. PR curves are more sensitive to False Positives and don't get ""inflated"" by a large number of True Negatives. Keywords: Imbalanced Data, Class Distribution, False Positives, Rare Events, Threshold Tuning.",
AI_0013,AI ML Engineer,Hard,Deep Learning,Why would you use many small 3x3 kernels rather than few large ones in CNNs?,"Stacking multiple 3x3 filters achieves the same receptive field as a larger filter (e.g., 7x7) but with significantly fewer parameters and computations. It also introduces more non-linearity (activation functions), making the model more discriminative. Keywords: Receptive Field, VGGNet, Parameters, Non-linearity, Spatial Context",
DS_0009,Data Scientist,Medium,Algorithms,Explain the difference between Bagging and Boosting.,"Bagging (Bootstrap Aggregating) builds independent models in parallel and averages them to reduce Variance (e.g., Random Forest). Boosting builds models sequentially, where each new model focuses on the errors of the previous one to reduce Bias (e.g., XGBoost). Keywords: Parallel vs Sequential, Variance Reduction, Bias Reduction, Weak Learners, Ensemble Learning.",
DS_0010,Data Scientist,Medium,Algorithms,How does the Random Forest algorithm work?,"Random Forest is an ensemble of multiple Decision Trees. It uses Bagging (sampling data with replacement) and Feature Randomness (selecting a random subset of features for each split) to ensure trees are uncorrelated. The final prediction is made via Majority Voting (Classification) or Averaging (Regression). Keywords: Ensemble, Decision Trees, Bootstrapping, Feature Sampling, Overfitting prevention.",
DS_0011,Data Scientist,Hard,Algorithms,"Explain the ""Kernel Trick"" in Support Vector Machines (SVM).","The Kernel Trick allows SVM to solve non-linearly separable problems by implicitly mapping input data into a Higher-Dimensional space where a linear hyperplane can separate the classes. It calculates the dot product in that space without actually performing the transformation, saving computational power. Keywords: Hyperplane, Dimensionality, Radial Basis Function (RBF), Linear Separability, Computational Efficiency.",
AI_0014,AI ML Engineer,Hard,Model Training,Explain batch gradient descent vs stochastic gradient descent,"Batch GD computes the gradient using the entire dataset (stable, direct path). SGD computes it using a single sample (noisy path). SGD's noise helps escape local minima in non-convex error manifolds. Keywords: Whole Dataset vs Single Sample, Convergence, Local Minima, Noise, Convex vs Non-Convex.",
DS_0012,Data Scientist,Hard,Generative AI,Compare RAG (Retrieval-Augmented Generation) vs. Fine-tuning an LLM.,"RAG provides the model with external, up-to-date knowledge without changing the weights; it's better for factual accuracy and ""hallucination"" reduction. Fine-tuning updates model weights to learn specific styles, formats, or niche domain vocabulary. Keywords: External Knowledge, Parametric vs Non-parametric Memory, Hallucination, Training Cost, Latency.",
DS_0013,Data Scientist,Hard,Statistics,"What is the ""Curse of Dimensionality"" and how does it impact distance-based algorithms like KNN?","As the number of dimensions increases, the volume of the space grows exponentially, making the data points Sparsely distributed. In high dimensions, the distance between any two points becomes almost equal, rendering distance-based metrics (Euclidean) meaningless. Keywords: Feature Sparsity, Distance Convergence, Dimensionality Reduction (PCA), Overfitting.",
AI_0015,AI ML Engineer,Hard,Deep Learning,What are dropouts and why are they used?,"A regularization technique where randomly selected neurons are ignored (dropped out) during training. This prevents units from co-adapting too much and forces the network to learn more robust features, reducing overfitting. Keywords: Regularization, Overfitting, Ensemble, Random Deactivation, Robustness.",
DS_0014,Data Scientist,Hard,System Design,"How do you design an A/B test for a recommendation engine where network effects exist (e.g., social media)?","Standard A/B testing fails here due to Interference/Spillover (treatment of one user affects the control). Use Cluster Randomization (randomizing entire cities/groups) or Switchback Testing (alternating treatment/control over time in the same region). Keywords: Network Effects, Interference, Cluster Randomization, Switchback Experiment, Stable Unit Treatment Value Assumption (SUTVA).",
DS_0015,Data Scientist,Hard,Deep Learning,Explain the difference between Batch Normalization and Layer Normalization. When is each preferred?,"Batch Norm normalizes across the batch dimension; it speeds up training but depends on batch size (fails for small batches). Layer Norm normalizes across the features for each individual sample; it is independent of batch size and is the standard for RNNs and Transformers. Keywords: Internal Covariate Shift, Batch Size Dependency, Transformer Architecture, Feature Dimension.",
AI_0016,AI ML Engineer,Behavioural ,Ethics/Integrity,Tell me about a time when you disagreed with a team member. How did you resolve it?,"Used the STAR method (Situation, Task, Action, Result). Focused on a professional (not personal) disagreement, listened to the other perspective, used data/logic to find a solution, and prioritized the project's success. Keywords: STAR Method, Active Listening, Data-Driven, Consensus, Professionalism",
DS_0016,Data Scientist,Behavioural ,Ethics/Integrity,Tell me about a time you found a flaw in your own analysis after presenting it.,"Demonstrates integrity by immediately informing stakeholders of the error (transparency), correcting the analysis promptly, and implementing new validation checks to prevent future occurrences. Keywords: Integrity, Transparency, Accountability, Correction, Stakeholder Communication",
AI_0017,AI ML Engineer,Behavioural ,Ethics/Integrity,Tell me about your biggest professional failure. What happened and what did you learn?,"Admitted a genuine mistake (owned it), analyzed the root cause without blaming others, and implemented a specific process or check to prevent recurrence. Keywords: Accountability, Root Cause Analysis, Process Improvement, Resilience, Ownership.",
DS_0017,Data Scientist,Behavioural ,Prioritization,How do you handle a very tight deadline?,"Response centers on Scope Management and Pragmatism. It should demonstrate the ability to distinguish between ""must-have"" and ""nice-to-have"" features, prioritizing the development of a Minimum Viable Product (MVP) that delivers core value first. Key elements include proactive negotiation with stakeholders to align on realistic deliverables and using an iterative approach to improve the model after the initial deadline. Keywords: Scope Management, MVP (Minimum Viable Product), Expectation Management, Eisenhower Matrix, Iterative Development, Trade-offs.",
AI_0018,AI ML Engineer,Behavioural ,Ethics/Integrity,Tell me about a time you found a flaw in your own analysis after presenting it.,"Demonstrates integrity by immediately informing stakeholders of the error (transparency), correcting the analysis promptly, and implementing new validation checks to prevent future occurrences. Keywords: Integrity, Transparency, Accountability, Correction, Stakeholder Communication",
AI_0019,AI ML Engineer,Behavioural ,Personal Growth,Where do you see yourself in the next 5 years?,"Describes a trajectory of professional growth within the company (e.g., moving from Junior to Senior/Lead). Focuses on mastering skills, taking on more responsibility (mentorship), and adding value to the organization. Keywords: Growth, Leadership, Mentorship, Alignment, Impact, Mastery.",
AI_0020,AI ML Engineer,Behavioural ,Acceptance,What is your biggest weakness? How are you working to improve it?,"Identifies a genuine, non-critical professional weakness (e.g., public speaking, delegation) and describes specific, actionable steps being taken to improve it (courses, practice), showing measurable progress. Keywords: Self-Awareness, Action Plan, Improvement, Genuine, Growth Mindset.",
DS_0018,Data Scientist,Behavioural ,Communication,Explain a complex technical finding to a non-technical audience.,"Focuses on audience-centric communication. The answer should emphasize translating technical metrics into business ROI, using analogies to simplify concepts, and avoiding jargon to ensure stakeholder alignment.Keywords:Audience-Centric Communication,Business ROI,Analogies,Stakeholder Alignment.",
DS_0019,Data Scientist,Behavioural ,Self-awareness,"What is your personal 'SOT' (Strengths, Opportunities, and Threats) in the context of this role?","demonstrates Honest Self-Assessment. For Strengths, it should focus on core competencies like problem-solving or specific ML frameworks. For Opportunities, it should highlight a proactive ""Growth Mindset,"" showing a desire to learn new tools or industries. For Threats, it should identify externalchallenges (like rapidly changing tech) and explain a clear Mitigation Strategy for staying relevant.Keywords:Growth Mindset,Mitigation Strategy,Self-Awareness,Core Competency,Continuous Learning,Domain Expertise.",
DS_0020,Data Scientist,Behavioural ,Acceptance,What is your biggest weakness? How are you working to improve it?,"Identifies a genuine, non-critical professional weakness (e.g., public speaking, delegation) and describes specific, actionable steps being taken to improve it (courses, practice), showing measurable progress. Keywords: Self-Awareness, Action Plan, Improvement, Genuine, Growth Mindset.",
DB_0001,Database Engineer ,Easy,Fundamentals ,What is a Primary Key?,"A Primary Key is a column (or set of columns) that uniquely identifies each row in a table. It cannot contain NULL values and must be unique.
Keywords: Unique Identifier, Entity Integrity, NOT NULL, Constraint",
DB_0002,Database Engineer ,Easy,Constraints ,What is a Foreign Key?,"A Foreign Key is a column that creates a relationship between two tables by referencing the Primary Key of another table. It enforces referential integrity, ensuring that related records remain consistent and preventing orphan records.
Keywords: Referential Integrity, Parent-Child Relationship, Constraint, Data Consistency",
DB_0003,Database Engineer,Easy,SQL Basics,What is the difference between WHERE and HAVING?,"WHERE filters rows before grouping, while HAVING filters grouped results after aggregation. HAVING is used with GROUP BY.
Keywords: Filtering, Aggregation, GROUP BY, Clause Execution Order",
DB_0004,Database Engineer,Easy,Data Types,What is the difference between CHAR and VARCHAR,"CHAR stores fixed-length strings, while VARCHAR stores variable-length strings. VARCHAR is more storage-efficient for varying data.
Keywords: Fixed Length, Variable Length, Storage Efficiency, String Data Type",
DB_0005,Database Engineer,Easy,Transactions,What is a transaction in a database?,"A transaction is a sequence of operations performed as a single logical unit of work that either fully completes (COMMIT) or fully fails (ROLLBACK).
Keywords: Commit, Rollback, Atomicity, Logical Unit",
DB_0006,Database Engineer,Medium,Indexing,What are composite indexes and when should you use them?,"A composite index is an index built on multiple columns. It improves performance for queries that filter or sort using those specific columns together. The order of columns matters due to the Leftmost Prefix Rule, meaning the index works efficiently only if queries use the leading column(s).
Keywords: Multi-column Index, Selectivity, Leftmost Prefix Rule, Query Optimization",
DB_0007,Database Engineer,Medium,Isolation Levels,Explain different transaction isolation levels.,"Transaction isolation levels control how visible uncommitted data is between transactions.
Read Uncommitted: Allows dirty reads
Read Committed: Prevents dirty reads
Repeatable Read: Prevents non-repeatable reads
Serializable: Prevents phantom reads
Higher isolation improves consistency but may reduce concurrency and throughput.
Keywords: Dirty Read, Phantom Read, Concurrency, Trade-off",
DB_0008,Database Engineer,Medium,Normalisation ,What is denormalization and when would you use it?,"Denormalization intentionally adds redundancy to reduce complex joins and improve read performance. It is commonly used in read-heavy systems like reporting dashboards or analytics platforms where query speed is more critical than strict normalization.
Keywords: Performance Optimization, Redundancy, Read-heavy Systems, Join Reduction",
DB_0009,Database Engineer,Medium,Stored Procedures,What are stored procedures and their advantages?,"Stored procedures are precompiled SQL programs stored inside the database. They reduce network overhead, improve execution speed, enhance security by restricting direct table access, and promote reusable business logic within the database layer.
Keywords: Precompiled Logic, Security, Encapsulation, Reduced Latency",
DB_0010,Database Engineer,Medium,Locking,What is optimistic vs pessimistic locking?,"Optimistic locking assumes conflicts are rare and validates data before committing changes, typically using version numbers. Pessimistic locking locks resources immediately to prevent concurrent modifications. Optimistic is better for low-conflict systems; pessimistic suits high-conflict environments.
Keywords: Concurrency Control, Versioning, Lock Contention, Data Integrity",
DB_0011,Database Engineer,Hard,System Design,How would you design a database for a high-traffic e-commerce platform?,"I would design a normalized core schema (Users, Products, Orders), apply indexing on high-frequency query fields, use caching (e.g., Redis) for product lookups, implement read replicas to scale read traffic, and use sharding for horizontal scaling. I would also ensure strong transaction management for payments and order processing.
Keywords: Horizontal Scaling, Read Replicas, Caching, High Availability, Data Partitioning",
DB_0012,Database Engineer,Hard,Performance Tuning,How do you identify and fix slow queries?,"I would start by analyzing the execution plan to identify bottlenecks such as full table scans or inefficient joins. Then, check index usage, update statistics, optimize query structure, reduce unnecessary columns, and consider partitioning or caching if needed.
Keywords: Execution Plan, Index Optimization, Cost Analysis, Query Refactoring",
DB_0013,Database Engineer,Hard,Distributed Databases,Explain eventual consistency.,"Eventual consistency means that after a write operation, all replicas will eventually converge to the same value, though not immediately. It improves availability and scalability in distributed systems but sacrifices immediate consistency.
Keywords: Distributed Systems, Replication, Latency, Availability Trade-off",
DB_0014,Database Engineer,Hard,Storage Engines,What is the difference between row-based and column-based storage?,"Row-based storage keeps all fields of a record together and is optimized for transactional workloads (OLTP). Column-based storage stores each column separately, allowing better compression and faster analytical queries (OLAP).
Keywords: OLTP, OLAP, Compression, Analytical Performance",
DB_0015,Database Engineer,Hard,Recovery Mechanisms,Explain Write-Ahead Logging (WAL).,"WAL ensures that changes are written to a log before being applied to the database. In case of a crash, the system can replay the log to recover lost data, guaranteeing durability and crash consistency.
Keywords: Crash Recovery, Durability, Log File, Checkpoint",
DB_0016,Database Engineer,Behavioural ,Proactiveness & Ownership,Tell me about a time you took initiative without being told.,"During a project phase, I noticed no one was documenting progress. I started maintaining structured documentation, which later helped in debugging and onboarding new members.

Keywords: Proactive Behavior, Ownership, Responsibility, Organizational Skills",
DB_0017,Database Engineer,Behavioural ,Accountability,Describe a time you failed,"I once missed a deadline because I didn't build in buffer time for feedback rounds. I had to apologize to stakeholders and work late to deliver. Since then, I work backwards from deadlines and add 20% buffer time. I haven't missed a deadline in two years.",
DB_0018,Database Engineer,Behavioural ,Intellectual Honesty,Describe a time you discovered you were wrong midway through a project,"Three weeks into building a customer onboarding flow, user testing revealed people were completely confused by my design. My initial reaction was to defend it, but the data was clear. I called an emergency meeting, admitted I'd over-complicated it, and we scrapped 60% of my work. We rebuilt with a simpler approach that tested 40% better. The hard part wasn't losing the work—it was publicly acknowledging I'd led us down the wrong path. But the team respected the honesty and we shipped something much better",
DB_0019,Database Engineer,Behavioural ,Ambiguity Management,Tell me about a time you worked under extreme ambiguity.,"I was assigned a task with minimal documentation and unclear expectations. Instead of waiting for complete clarity, I broke the problem into assumptions, validated them with stakeholders, and built an iterative solution.
By taking initiative and communicating proactively, I reduced uncertainty and ensured progress without delay.
Keywords: Ambiguity Management, Proactive Communication, Iterative Thinking, Initiative",
DB_0020,Database Engineer,Behavioural ,Stress Management,Tell me about a time you had to manage stress effectively.,"During overlapping deadlines, I avoided reactive multitasking. I prioritized tasks based on impact, focused on one objective at a time, and maintained structured planning.
Staying calm ensured quality was not compromised under pressure.
Keywords: Composure, Prioritization, Structured Thinking, Performance Under Pressure",
DO_0001,DevOps Engineer ,Easy,DevOps Fundamentals, Can you explain DevOps in simple terms?,"DevOps is a set of practices that brings development and operations teams together to improve collaboration and automation. The main goal of DevOps is to deliver software faster, more reliably, and with fewer errors. It focuses on continuous integration, continuous delivery, automation, and monitoring so that software development and deployment become smooth and efficient.",
DO_0002,DevOps Engineer ,Easy,Automation Tools,What tools have you used in DevOps?,"I have used Git for version control, Jenkins for CI/CD automation, Docker for containerization, Kubernetes for container orchestration, and cloud platforms like AWS for infrastructure management. These tools help automate builds, deployments, scaling, and monitoring, making the delivery process faster and more reliable.",
DO_0003,DevOps Engineer ,Easy,CI Concepts,What is Continuous Integration (CI)?,"Continuous Integration is the practice of frequently integrating code changes into a shared repository. Each change is automatically built and tested, which helps detect bugs early and maintain code quality",
DO_0004,DevOps Engineer ,Easy,Containerization Basics,What is containerization?,Containerization packages an application with its dependencies into a single unit called a container. This ensures consistency across environments and simplifies deployment.,
DO_0005,DevOps Engineer ,Easy,CD Concepts,What is Continuous Deployment/Delivery (CD)?,"Continuous Delivery ensures that code is always in a deployable state, while Continuous Deployment automatically releases every successful change to production. Both help deliver features faster and reduce manual errors.",
DO_0006,DevOps Engineer ,Medium,CI/CD Pipeline Architecture,Explain the working of a CI/CD pipeline.,"A CI/CD pipeline starts when code is pushed to a repository. It runs automated builds and tests, followed by deployment to staging or production environments. This automation ensures faster, reliable, and repeatable software releases.",
DO_0007,DevOps Engineer ,Medium,Containerization vs Virtualization,Difference between Docker containers and virtual machines,"Docker containers share the host operating system kernel, which makes them lightweight and faster to start. They consume fewer system resources and are ideal for microservices-based architectures. Virtual machines, on the other hand, run a complete operating system along with the application, which increases resource usage and startup time. Containers provide better efficiency and scalability compared to virtual machines",
DO_0008,DevOps Engineer ,Medium,Infrastructure Automation,What is Infrastructure as Code (IaC)?,"Infrastructure as Code is the practice of managing and provisioning infrastructure using machine-readable code files instead of manual configuration. It allows infrastructure to be version-controlled, tested, and deployed automatically. IaC ensures consistency across environments, reduces configuration drift, and makes infrastructure scalable and reproducible.",
DO_0009,DevOps Engineer ,Medium,Monitoring,What is monitoring in DevOps and why is it important?,"Monitoring in DevOps involves tracking system performance, availability, and application health using metrics, logs, and alerts. It helps detect issues early, identify performance bottlenecks, and ensure systems are running as expected. Effective monitoring improves reliability, supports faster incident response, and enhances user experience.",
DO_0010,DevOps Engineer ,Medium,Configuration Management,What is configuration management?,"Configuration management ensures that systems and servers remain in a consistent and desired state throughout their lifecycle. It automates tasks such as software installation, configuration updates, and patch management. This reduces manual effort, minimizes errors, and ensures uniform environments across development, testing, and production.",
DO_0011,DevOps Engineer ,Hard,Deployment Strategies,Explain zero-downtime deployment,Zero-downtime deployment is a strategy that allows application updates without interrupting user access. This is achieved using techniques like rolling updates or blue-green deployment. New versions are deployed gradually while the old version continues serving traffic. Health checks and monitoring ensure that only healthy instances receive traffic. This approach improves user experience and reduces business impact during deployments.,
DO_0012,DevOps Engineer ,Hard,Release Management,Explain blue-green deployment in detail.,"Blue-green deployment maintains two identical environments. One environment (blue) serves live traffic, while the other (green) hosts the new version of the application. The new version is tested in the green environment. Once verified, traffic is switched from blue to green. This allows instant rollback if issues arise and ensures safe, reliable deployments.",
DO_0013,DevOps Engineer ,Hard,Kubernetes Debugging,How do you troubleshoot a failing Kubernetes pod?,"To troubleshoot a failing Kubernetes pod, I would first check pod logs to identify application errors. Then I would examine pod events for issues like failed probes or resource constraints. I would verify CPU and memory limits, environment variables, and configuration files. After identifying the root cause, I would apply fixes, redeploy the pod, and monitor it to ensure stability",
DO_0014,DevOps Engineer ,Hard,DevSecOps,How is security implemented in DevOps pipelines?,"Security in DevOps pipelines is implemented by integrating automated security checks throughout the pipeline. This includes static code analysis, vulnerability scanning, secure secrets management, and access control. Security is treated as a shared responsibility and implemented early in the development process to reduce risks.",
DO_0015,DevOps Engineer ,Hard,System Architecture,How do you design a scalable and highly available system?,"A scalable and highly available system is designed using load balancers, auto-scaling groups, containerization, and redundancy. Caching improves performance, while monitoring and alerts ensure quick detection of issues. Failover mechanisms and backup strategies help maintain availability even during failures.",
DO_0016,DevOps Engineer ,Behavioural ,Career Goals,Why do you want to work as a DevOps Engineer?,"I want to work as a DevOps Engineer because I enjoy automation, problem-solving, and improving system efficiency. DevOps allows me to work across development and operations, which gives me a complete understanding of how applications are built, deployed, and maintained. I like the idea of creating reliable systems that reduce manual effort and help teams deliver software faster. DevOps also encourages continuous learning, which motivates me to grow technically and professionally.",
DO_0017,DevOps Engineer ,Behavioural ,Stress Management,How do you handle pressure during production issues?,"During production issues, I focus on staying calm and organized. I prioritize critical problems that impact users and communicate clearly with the team. I rely on monitoring tools and logs to identify the root cause rather than making assumptions. Once the issue is resolved, I review what went wrong and help improve the process to prevent similar problems in the future.",
DO_0018,DevOps Engineer ,Behavioural ,Learning Mindset,Tell me about a time you made a mistake and what you learned from it.,"I once made a configuration mistake during a deployment that caused a service disruption. I immediately acknowledged the mistake, worked with the team to fix the issue, and restored the service. After that, I documented the incident and added validation checks to the deployment process. This experience taught me the importance of careful testing, clear documentation, and learning from failures instead of fearing them.",
DO_0019,DevOps Engineer ,Behavioural ,Self-Improvement,How do you keep yourself updated with new technologies and tools?,"I regularly update my skills by practicing hands-on labs, reading official documentation, and following technical blogs. I also take online courses and try to apply what I learn in small projects. Staying updated is important in DevOps because tools and technologies evolve quickly, and continuous learning helps me stay relevant and effective.",
DO_0020,DevOps Engineer ,Behavioural ,"Teamwork, Communication",How do you handle working with developers and operations teams?,"I believe clear communication and collaboration are key to working with cross-functional teams. I try to understand the challenges faced by both developers and operations teams and act as a bridge between them. I encourage open discussions, share knowledge, and focus on solving problems together rather than blaming individuals. This approach helps build trust and ensures smoother workflows.",
CL_0001,Cloud Engineer,Easy,Cloud Fundamentals – Basic Concepts,What is Cloud Computing?,"Cloud computing is the on-demand delivery of computing services such as servers, storage, databases, and networking over the internet on a pay-as-you-go model.
Instead of owning infrastructure, organizations rent resources from providers like Amazon Web Services or Microsoft Azure, which improves scalability, flexibility, and cost efficiency.",
CL_0002,Cloud Engineer,Easy, Cloud Service Models,"Explain IaaS, PaaS, and SaaS","The three primary cloud service models differ based on the level of responsibility shared between the provider and the user. In Infrastructure as a Service (IaaS), the cloud provider offers virtualized computing resources such as servers and storage, while the user manages the operating system, applications, and configurations. In Platform as a Service (PaaS), the provider manages the infrastructure and runtime environment, allowing developers to focus solely on application development. In Software as a Service (SaaS), the provider manages everything, and users simply access the software through a browser. The key distinction lies in how much control and responsibility the customer retains.",
CL_0003,Cloud Engineer,Easy,Core Cloud Technology,What is Virtualization?,"Virtualization allows multiple virtual machines to run on a single physical server using a hypervisor.It improves hardware utilization, isolation, and cost efficiency — forming the foundation of cloud computing",
CL_0004,Cloud Engineer,Easy,Scalability & Elasticity,What is Auto Scaling?," Auto Scaling automatically increases or decreases computing resources based on traffic demand.
It ensures performance during peak loads and reduces cost during low usage.",
CL_0005,Cloud Engineer,Easy,Cloud Infrastructure Architecture,What is a Region and Availability Zone?,"A Region is a geographical area containing multiple data centers.
An Availability Zone is an isolated data center within a region.
Deploying across multiple Availability Zones increases high availability and fault tolerance",
CL_0006,Cloud Engineer,Medium,High Availability & Traffic Management,What is Load Balancing?,"Load balancing distributes incoming traffic across multiple servers to prevent overload and ensure optimal performance.
It improves reliability and eliminates single points of failure.",
CL_0007,Cloud Engineer,Medium,Cloud Security – Access Management,What is IAM and why is it important?,"IAM (Identity and Access Management) controls authentication and authorization in cloud environments.
It ensures users and services have only the permissions they require — following the principle of least privilege",
